,cluster_id,cluster_name,cluster_isactive,store_id,store_code,store_description,store_lat,store_long
349,9,Stellenbosch (WC),True,575,KSA259,KFC - STELLENBOSCH,-33.9353,18.8591
350,163,Rand Park Ridge (G),True,576,KSA065,KFC - WELTEVREDEN PARK,-26.1253,27.9312
351,163,Rand Park Ridge (G),True,577,KSA496,KFC - RANDPARK RIDGE,-26.0925,27.9381
352,43,Leaping Frog (G),True,578,KSA1231,KFC - Rock Cottage,-26.1043282,27.9257851
353,101,Muizenberg (WC),True,579,KSA722,KFC - CAPRICORN PARK,-34.0881,18.4801
354,9,Stellenbosch (WC),True,580,KSA1068,KFC - STELLENBOSCH 2,-33.9406662,18.8485126
355,189,Tokai (WC),True,581,KSA534,KFC - BLUE ROUTE MALL,-34.0646,18.4552
356,47,Cradlestone (G),True,582,KSA1272,KFC - Sasol Cradlestone,-26.0629826,27.8394432
357,30,Paarl (WC),True,583,KSA1178,KFC - PAARL EAST,-33.7321625,18.9782181
358,72,Monument Park (G),True,584,KSA492,KFC - NOORDHEUWEL,-26.0894,27.8186
359,72,Monument Park (G),True,585,KSA353,KFC - KEY WEST,-26.0889,27.7824
360,6,Westville (KZN),True,586,KSA183,KFC - WESTVILLE,-29.8354,30.9159
361,66,Ballito Junction (KZN),True,587,KSA1203,KFC - BALLITO JUNCTION,-29.523634,31.2024326
362,66,Ballito Junction (KZN),True,588,KSA327,KFC - BALLITO,-29.5285,31.2052
363,30,Paarl (WC),True,589,KSA252,KFC - PAARL,-33.7298,18.9636
364,142,George (WC),True,590,KSA445,KFC - GARDEN ROUTE MALL,-33.9860344,22.5040569
365,74,Eastgate (G),True,591,KSA067,KFC - EASTGATE,-26.181,28.1172
366,46,Virginia Circle (KZN),True,592,KSA125,KFC - DURBAN NORTH 2,-29.7751,31.0349
367,59,Mall of the South (G),True,593,KSA981,KFC - MULBARTON,-26.2963,28.0463
368,46,Virginia Circle (KZN),True,594,KSA716,KFC - BROADWAY,-29.785,31.0387
369,145,Vincent (EC),True,595,KSA017,KFC - VINCENT PARK (EAST LONDON),-32.9842,27.9023
370,87,Charlo (EC),True,596,KSA1271,KFC - Circular Drive,-33.9707336,25.5278358
371,87,Charlo (EC),True,597,KSA503,KFC - WALMER,-33.9847,25.5536
372,145,Vincent (EC),True,598,KSA411,KFC - AMALINDA,-32.9922,27.8659
373,110,East Rand (G),True,600,test1111,test,-26.1986866,28.26423
374,42,Hout Bay (WC),True,601,3511,Checkers LiquorShop Hout Bay,-34.045,18.359
375,2,Cape Town CBD (WC),True,602,ZO609,GETWINE Zonnebloem,-33.9274025,18.4241428
376,18,Kenilworth (WC),True,603,CL608,GETWINE Claremont,-33.9773331,18.4833355
377,72,Monument Park (G),True,604,KSA100,KFC - Krugersdorp,-26.1042671,27.7721176
378,5,Melrose (G),True,605,zzzKSA595,KFC - ALEXANDRA PAN AFRICAN CENTRE,0.0,0.0
379,149,Fourways (G),True,606,EVOLUTION VAPE_FOURWAYS,EVOLUTION VAPE_FOURWAYS LEVEL3,-26.0178528,28.0081558
380,74,Eastgate (G),True,607,EVOLUTION VAPE_EASTGATE,EVOLUTION VAPE_EASTGATE - ENT 4,-26.1799068,28.1174335
381,75,Roodepoort (G),True,608,EVOLUTION VAPE_CLEARWATER (K),EVOLUTION VAPE_CLEARWATER - ENT 1 UPPER,-26.1256714,27.9039955
382,54,New Menlyn (G),True,609,EVOLUTION VAPE_MENLYN,EVOLUTION VAPE_MENLYN - ENT 12,-25.7813854,28.2731571
383,186,Mall At Reds (G),True,610,EVOLUTION VAPE_MALL @ REDS,EVOLUTION VAPE_MALL @ REDS - ENT 3,-25.871151,28.1372089
384,92,Brakpan (G),True,611,EVOLUTION VAPE_MALL @ CARNIVAL,EVOLUTION VAPE_MALL @ CARNIVAL - ENT 5,-26.251133,28.3158684
385,67,Cresta (G),True,612,EVOLUTION VAPE_CRESTA,EVOLUTION VAPE_CRESTA - ENT 5,-26.1298752,27.9756451
386,191,Rosebank (G),True,613,EVOLUTION VAPE_ROSEBANK,EVOLUTION VAPE_ROSEBANK - ENT 1,-26.1468925,28.0414677
387,57,Sandton (G),True,614,EVOLUTION VAPE_SANDTON,EVOLUTION VAPE_SANDTON - ENT 7 LOWER,-26.1086922,28.0551987
388,59,Mall of the South (G),True,615,EVOLUTION VAPE_MALL OF THE SOUTH,EVOLUTION VAPE_MALL OF THE SOUTH - ENT 4,-26.31332,28.0604553
389,72,Monument Park (G),True,616,EVOLUTION VAPE_KEY WEST,EVOLUTION VAPE_KEY WEST - ENT 2,-26.0864067,27.7806072
390,108,Brooklyn (G),True,617,EVOLUTION VAPE_BROOKLYN,EVOLUTION VAPE_BROOKLYN - ENT 1,-25.7714615,28.2354889
391,110,East Rand (G),True,618,EVOLUTION VAPE_EAST POINT,EVOLUTION VAPE_EAST POINT - ENT 1,-26.1787357,28.2369041
392,99,Oakdene (G),True,619,EVOLUTION VAPE_GLEN,EVOLUTION VAPE_GLEN - ENT 9,-26.2688236,28.0506878
393,5,Melrose (G),True,620,5,AVO - Bellagio Illovo,-26.13129,28.0495243
394,191,Rosebank (G),True,621,11,AVO - The Joint Dimsum Bar Illovo,-26.1346626,28.0483475
395,5,Melrose (G),True,622,39,AVO - Jimmy Killer Fish and Chips Norwood,-26.1593418,28.0764179
396,5,Melrose (G),True,623,43,AVO - Jimmy Killer Prawn Norwood,-26.1571,28.07548
397,5,Melrose (G),True,624,119,AVO - Piza E Vino Melrose Arch,-26.1318874,28.06838
398,191,Rosebank (G),True,625,121,AVO - Piza E Vino Rosebank,-26.1447945,28.0428047
399,191,Rosebank (G),True,626,139,AVO - Doppio Zero Rosebank,-26.14422,28.0421
400,5,Melrose (G),True,627,500,AVO - Burger King Norwood,-26.1477032,28.07931
401,5,Melrose (G),True,628,181,AVO - Captain Dorego`s Balfour mall,-26.1368122,28.0893326
402,5,Melrose (G),True,629,265,AVO - Debonairs Sandton City,-26.1283112,28.0536728
403,191,Rosebank (G),True,630,282,AVO - Panarottis The Zone,-26.1453953,28.0434341
404,5,Melrose (G),True,631,283,AVO - RocoMamas Melrose Arch,-26.1327019,28.0657978
405,191,Rosebank (G),True,632,285,AVO - Texakhana Spur,-26.1447868,28.0438614
406,5,Melrose (G),True,633,430,AVO - Norman Goodfellows Illovo,-26.131813,28.0490284
407,5,Melrose (G),True,634,426,AVO - Norman Goodfellows Melrose Arch,-26.131731,28.0691032
408,5,Melrose (G),True,635,575,AVO - Vida E Caffe Rosebank Mall,-26.1464615,28.041008
409,57,Sandton (G),True,636,519,AVO - Thirst,-26.104332,28.0826283
410,57,Sandton (G),True,637,157,AVO - Andiccio24 Green Park,-26.0963745,28.0539742
411,57,Sandton (G),True,638,159,AVO - Andiccio24 Graystone Drive,-26.1004639,28.0657825
412,57,Sandton (G),True,639,226,AVO - Nonnas,-26.1074524,28.0527744
413,57,Sandton (G),True,640,239,AVO - Krispy Kreme Sandton City,-26.109642,28.0533981
414,57,Sandton (G),True,641,466,AVO - Vida E Caffe,-26.1074142,28.0618343
415,57,Sandton (G),True,642,573,AVO - Vida E Caffe 24 Central,-26.1025162,28.0569916
416,57,Sandton (G),True,643,466,AVO - Vida E Caffe Katherine Street,-26.1074142,28.0618343
417,11,Emmarentia (G),True,644,9,AVO - Spiceburg Restaurant Greenside,-26.146513,28.00911
418,11,Emmarentia (G),True,645,47,"AVO - Jimmy Killer Fish, Chips and Grill Greenside",-26.161211,28.0123386
419,11,Emmarentia (G),True,646,538,AVO - Solly Kramers Parkhurst,-26.143177,28.0165539
420,11,Emmarentia (G),True,647,118,AVO - Piza E Vino Melville,-26.1824112,28.0066948
421,11,Emmarentia (G),True,648,136,AVO - Doppio Zero Greenside,-26.1466713,28.0089588
422,11,Emmarentia (G),True,649,491,AVO - Reserved Cafe,-26.17557,28.00677
423,11,Emmarentia (G),True,650,253,AVO - Joe`s Burgers,-26.1508141,28.0338287
424,11,Emmarentia (G),True,651,254,AVO - Manna Foods,-26.1508141,28.0338287
425,11,Emmarentia (G),True,652,262,AVO - Have Wings,-26.1757374,28.0072765
426,11,Emmarentia (G),True,653,457,AVO - Hot Chicks,-26.1838722,27.9891052
427,11,Emmarentia (G),True,654,335,AVO - Sugarlicious Emmerentia,-26.1611519,28.0123482
428,11,Emmarentia (G),True,655,410,AVO - The Fussy Vegan Greenside,-26.1464329,28.01204
429,11,Emmarentia (G),True,656,762,AVO - Dry Dock Liquors,-26.13771,28.01769
430,75,Roodepoort (G),True,657,10,AVO - Devs Indian Cuisine Florida Glen,-26.1644955,27.9431953
431,75,Roodepoort (G),True,658,522,AVO - Florida Grill Joint,-26.17129,27.9073963
432,75,Roodepoort (G),True,659,133,AVO - Doppio Zero Clearwater,-26.1282024,27.9049263
433,75,Roodepoort (G),True,660,156,AVO - West Coast Liquors,-26.13347,27.9097176
434,75,Roodepoort (G),True,661,497,AVO - Anat Falafel & Scharwma Clearwater,-26.1275578,27.90466
435,75,Roodepoort (G),True,662,478,AVO - Fish and Chip Co Clearwater Mall,-26.1275578,27.90466
436,75,Roodepoort (G),True,663,465,AVO - Jakes Liquor Store,-26.1674576,27.9382019
437,75,Roodepoort (G),True,664,423,AVO - La Padrino Florida,-26.17351,27.93008
438,75,Roodepoort (G),True,665,419,AVO - Liquor-ish,-26.1372261,27.9100666
439,75,Roodepoort (G),True,666,417,AVO - Mizaan’s Halaal Take aways,-26.17107,27.90703
440,75,Roodepoort (G),True,667,640,AVO - Burger King Clearwater Mall,27.9051,-26.127285
441,75,Roodepoort (G),True,668,645,AVO - Burger King Flora Centre,27.92861,-26.1671543
442,75,Roodepoort (G),True,669,658 ,AVO - Family First Fast Foods                  ,-26.17528,27.91095
443,163,Rand Park Ridge (G),True,670,26,AVO - Smack Pizza Co Eagles Landing,-26.09574,27.9275761
444,163,Rand Park Ridge (G),True,671,539,AVO - KR Seafood,-26.0930862,27.9397831
445,163,Rand Park Ridge (G),True,672,116,AVO - Piza E Vino Eagles Landing,-26.0960636,27.9273548
446,163,Rand Park Ridge (G),True,673,461,AVO - Mochachos Weltevreden Park,-26.10457,27.92484
447,163,Rand Park Ridge (G),True,674,460,AVO - Brooklyn Brothers Honeydew,-26.0786724,27.92737
448,163,Rand Park Ridge (G),True,675,459,AVO - Senhor Peri Peri Honeydew,-26.0786724,27.92737
449,163,Rand Park Ridge (G),True,676,454,AVO - Mozambik Westrand,-26.1161385,27.8963432
450,163,Rand Park Ridge (G),True,677,453,AVO - Mozambik Randpark,-26.0910225,27.93746
451,163,Rand Park Ridge (G),True,678,318,AVO - Trinity Blue Bottle Liquors,-26.0910988,27.9373474
452,163,Rand Park Ridge (G),True,679,634,AVO - Burger King Allens Neck,27.9224758,-26.1226444
453,62,Northriding (G),True,680,130,AVO - Doppio Zero Bel Air (Northriding),-26.0602875,27.9570484
454,62,Northriding (G),True,681,296,AVO - Clay Oven,-26.0549335,27.96506
455,62,Northriding (G),True,682,448,AVO - Luigis Pizzeria Olivedale,-26.053669,27.9721565
456,62,Northriding (G),True,683,310,AVO - Swaadisht Randburg,-26.05192,27.9560623
457,62,Northriding (G),True,684,315,AVO - Northriding Blue Bottle Liquors,-26.0620289,27.9533939
458,62,Northriding (G),True,685,347,AVO - Picanha North Riding,-26.05543,27.9637032
